"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"population per 1 km2";"2023";119.9;"person";"";
0000000;"POLAND";"population density of the built-up and urbanized area";"2023";2054;"person";"";
0000000;"POLAND";"population chenge per 1000 inhabitants";"2023";-3.4;"person";"";
0000000;"POLAND";"population in thousands";"2023";37636.51;"thousand persons";"";
0000000;"POLAND";"population in thousands men";"2023";18182.40;"thousand persons";"";
0000000;"POLAND";"population in thousands women";"2023";19454.11;"thousand persons";"";
0000000;"POLAND";"urbanization rate";"2023";59.5;"%";"";
0200000;"DOLNOŚLĄSKIE";"population per 1 km2";"2023";144.3;"person";"";
0200000;"DOLNOŚLĄSKIE";"population density of the built-up and urbanized area";"2023";1908;"person";"";
0200000;"DOLNOŚLĄSKIE";"population chenge per 1000 inhabitants";"2023";-3.0;"person";"";
0200000;"DOLNOŚLĄSKIE";"population in thousands";"2023";2879.27;"thousand persons";"";
0200000;"DOLNOŚLĄSKIE";"population in thousands men";"2023";1383.49;"thousand persons";"";
0200000;"DOLNOŚLĄSKIE";"population in thousands women";"2023";1495.78;"thousand persons";"";
0200000;"DOLNOŚLĄSKIE";"urbanization rate";"2023";67.4;"%";"";
0201000;"Powiat bolesławiecki";"population per 1 km2";"2023";67.2;"person";"";
0201000;"Powiat bolesławiecki";"population density of the built-up and urbanized area";"2023";;"person";"";
0201000;"Powiat bolesławiecki";"population chenge per 1000 inhabitants";"2023";-3.2;"person";"";
0201000;"Powiat bolesławiecki";"population in thousands";"2023";87.64;"thousand persons";"";
0201000;"Powiat bolesławiecki";"population in thousands men";"2023";42.48;"thousand persons";"";
0201000;"Powiat bolesławiecki";"population in thousands women";"2023";45.17;"thousand persons";"";
0201000;"Powiat bolesławiecki";"urbanization rate";"2023";47.0;"%";"";
0201011;"Bolesławiec (1)";"population per 1 km2";"2023";1621.7;"person";"";
0201011;"Bolesławiec (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201011;"Bolesławiec (1)";"population chenge per 1000 inhabitants";"2023";-6.4;"person";"";
0201011;"Bolesławiec (1)";"population in thousands";"2023";37.06;"thousand persons";"";
0201011;"Bolesławiec (1)";"population in thousands men";"2023";17.23;"thousand persons";"";
0201011;"Bolesławiec (1)";"population in thousands women";"2023";19.83;"thousand persons";"";
0201011;"Bolesławiec (1)";"urbanization rate";"2023";100.0;"%";"";
0201022;"Bolesławiec (2)";"population per 1 km2";"2023";52.8;"person";"";
0201022;"Bolesławiec (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201022;"Bolesławiec (2)";"population chenge per 1000 inhabitants";"2023";6.0;"person";"";
0201022;"Bolesławiec (2)";"population in thousands";"2023";15.27;"thousand persons";"";
0201022;"Bolesławiec (2)";"population in thousands men";"2023";7.64;"thousand persons";"";
0201022;"Bolesławiec (2)";"population in thousands women";"2023";7.62;"thousand persons";"";
0201022;"Bolesławiec (2)";"urbanization rate";"2023";0.0;"%";"";
0201032;"Gromadka (2)";"population per 1 km2";"2023";18.7;"person";"";
0201032;"Gromadka (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201032;"Gromadka (2)";"population chenge per 1000 inhabitants";"2023";-11.1;"person";"";
0201032;"Gromadka (2)";"population in thousands";"2023";5.00;"thousand persons";"";
0201032;"Gromadka (2)";"population in thousands men";"2023";2.50;"thousand persons";"";
0201032;"Gromadka (2)";"population in thousands women";"2023";2.51;"thousand persons";"";
0201032;"Gromadka (2)";"urbanization rate";"2023";0.0;"%";"";
0201043;"Nowogrodziec (3)";"population per 1 km2";"2023";82.8;"person";"";
0201043;"Nowogrodziec (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201043;"Nowogrodziec (3)";"population chenge per 1000 inhabitants";"2023";-4.0;"person";"";
0201043;"Nowogrodziec (3)";"population in thousands";"2023";14.62;"thousand persons";"";
0201043;"Nowogrodziec (3)";"population in thousands men";"2023";7.29;"thousand persons";"";
0201043;"Nowogrodziec (3)";"population in thousands women";"2023";7.33;"thousand persons";"";
0201043;"Nowogrodziec (3)";"urbanization rate";"2023";28.1;"%";"";
0201044;"Nowogrodziec - urban area (4)";"population per 1 km2";"2023";254.8;"person";"";
0201044;"Nowogrodziec - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
0201044;"Nowogrodziec - urban area (4)";"population chenge per 1000 inhabitants";"2023";-4.9;"person";"";
0201044;"Nowogrodziec - urban area (4)";"population in thousands";"2023";4.10;"thousand persons";"";
