"Code";"Name";"Period";"Unemployed";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"as of the end of December";"total";"2024";786179;"person";"";
0000000;"POLAND";"as of the end of December";"females";"2024";405806;"person";"";
0000000;"POLAND";"as of the end of December";"males";"2024";380373;"person";"";
0000000;"POLAND";"as of the end of December";"below 25 years";"2024";101855;"person";"";
0000000;"POLAND";"as of the end of December";"below 30 years";"2024";187687;"person";"";
0000000;"POLAND";"as of the end of December";"over 50 years";"2024";211653;"person";"";
0000000;"POLAND";"as of the end of December";"long-term unemployed";"2024";381777;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"total";"2024";55474;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"females";"2024";28265;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"males";"2024";27209;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"below 25 years";"2024";5887;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"below 30 years";"2024";11368;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"over 50 years";"2024";16112;"person";"";
0200000;"DOLNOŚLĄSKIE";"as of the end of December";"long-term unemployed";"2024";25622;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"total";"2024";960;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"females";"2024";518;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"males";"2024";442;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"below 25 years";"2024";132;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"below 30 years";"2024";243;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"over 50 years";"2024";265;"person";"";
0201000;"Powiat bolesławiecki";"as of the end of December";"long-term unemployed";"2024";251;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"total";"2024";1739;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"females";"2024";865;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"males";"2024";874;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"below 25 years";"2024";179;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"below 30 years";"2024";317;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"over 50 years";"2024";556;"person";"";
0202000;"Powiat dzierżoniowski";"as of the end of December";"long-term unemployed";"2024";617;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"total";"2024";1776;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"females";"2024";1088;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"males";"2024";688;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"below 25 years";"2024";229;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"below 30 years";"2024";431;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"over 50 years";"2024";389;"person";"";
0203000;"Powiat głogowski";"as of the end of December";"long-term unemployed";"2024";890;"person";"";
0204000;"Powiat górowski";"as of the end of December";"total";"2024";1307;"person";"";
0204000;"Powiat górowski";"as of the end of December";"females";"2024";727;"person";"";
0204000;"Powiat górowski";"as of the end of December";"males";"2024";580;"person";"";
0204000;"Powiat górowski";"as of the end of December";"below 25 years";"2024";221;"person";"";
0204000;"Powiat górowski";"as of the end of December";"below 30 years";"2024";369;"person";"";
0204000;"Powiat górowski";"as of the end of December";"over 50 years";"2024";310;"person";"";
0204000;"Powiat górowski";"as of the end of December";"long-term unemployed";"2024";698;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"total";"2024";1564;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"females";"2024";776;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"males";"2024";788;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"below 25 years";"2024";182;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"below 30 years";"2024";343;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"over 50 years";"2024";443;"person";"";
0205000;"Powiat jaworski";"as of the end of December";"long-term unemployed";"2024";832;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"total";"2024";1620;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"females";"2024";762;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"males";"2024";858;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"below 25 years";"2024";113;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"below 30 years";"2024";254;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"over 50 years";"2024";533;"person";"";
0206000;"Powiat karkonoski";"as of the end of December";"long-term unemployed";"2024";941;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"total";"2024";894;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"females";"2024";414;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"males";"2024";480;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"below 25 years";"2024";128;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"below 30 years";"2024";210;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"over 50 years";"2024";263;"person";"";
0207000;"Powiat kamiennogórski";"as of the end of December";"long-term unemployed";"2024";349;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"total";"2024";5756;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"females";"2024";2758;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"males";"2024";2998;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"below 25 years";"2024";601;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"below 30 years";"2024";1138;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"over 50 years";"2024";1644;"person";"";
0208000;"Powiat kłodzki";"as of the end of December";"long-term unemployed";"2024";3124;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"total";"2024";1461;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"females";"2024";758;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"males";"2024";703;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"below 25 years";"2024";158;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"below 30 years";"2024";302;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"over 50 years";"2024";407;"person";"";
0209000;"Powiat legnicki";"as of the end of December";"long-term unemployed";"2024";796;"person";"";
0210000;"Powiat lubański";"as of the end of December";"total";"2024";1057;"person";"";
0210000;"Powiat lubański";"as of the end of December";"females";"2024";451;"person";"";
0210000;"Powiat lubański";"as of the end of December";"males";"2024";606;"person";"";
0210000;"Powiat lubański";"as of the end of December";"below 25 years";"2024";121;"person";"";
0210000;"Powiat lubański";"as of the end of December";"below 30 years";"2024";233;"person";"";
0210000;"Powiat lubański";"as of the end of December";"over 50 years";"2024";318;"person";"";
0210000;"Powiat lubański";"as of the end of December";"long-term unemployed";"2024";431;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"total";"2024";1313;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"females";"2024";790;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"males";"2024";523;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"below 25 years";"2024";175;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"below 30 years";"2024";338;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"over 50 years";"2024";344;"person";"";
0211000;"Powiat lubiński";"as of the end of December";"long-term unemployed";"2024";511;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"total";"2024";1029;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"females";"2024";544;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"males";"2024";485;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"below 25 years";"2024";112;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"below 30 years";"2024";234;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"over 50 years";"2024";317;"person";"";
0212000;"Powiat lwówecki";"as of the end of December";"long-term unemployed";"2024";478;"person";"";
0213000;"Powiat milicki";"as of the end of December";"total";"2024";731;"person";"";
0213000;"Powiat milicki";"as of the end of December";"females";"2024";409;"person";"";
0213000;"Powiat milicki";"as of the end of December";"males";"2024";322;"person";"";
0213000;"Powiat milicki";"as of the end of December";"below 25 years";"2024";130;"person";"";
0213000;"Powiat milicki";"as of the end of December";"below 30 years";"2024";179;"person";"";
0213000;"Powiat milicki";"as of the end of December";"over 50 years";"2024";207;"person";"";
0213000;"Powiat milicki";"as of the end of December";"long-term unemployed";"2024";358;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"total";"2024";2240;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"females";"2024";1127;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"males";"2024";1113;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"below 25 years";"2024";279;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"below 30 years";"2024";492;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"over 50 years";"2024";622;"person";"";
0214000;"Powiat oleśnicki";"as of the end of December";"long-term unemployed";"2024";1033;"person";"";
0215000;"Powiat oławski";"as of the end of December";"total";"2024";1583;"person";"";
0215000;"Powiat oławski";"as of the end of December";"females";"2024";766;"person";"";
0215000;"Powiat oławski";"as of the end of December";"males";"2024";817;"person";"";
0215000;"Powiat oławski";"as of the end of December";"below 25 years";"2024";186;"person";"";
0215000;"Powiat oławski";"as of the end of December";"below 30 years";"2024";328;"person";"";
0215000;"Powiat oławski";"as of the end of December";"over 50 years";"2024";453;"person";"";
0215000;"Powiat oławski";"as of the end of December";"long-term unemployed";"2024";672;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"total";"2024";1476;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"females";"2024";881;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"males";"2024";595;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"below 25 years";"2024";246;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"below 30 years";"2024";414;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"over 50 years";"2024";377;"person";"";
0216000;"Powiat polkowicki";"as of the end of December";"long-term unemployed";"2024";745;"person";"";
0217000;"Powiat strzeliński";"as of the end of December";"total";"2024";1382;"person";"";
