teryt,Gmina,Województwo,turnout_r1,mentzen_pct,nawrocki_pct_r1,eligible,turnout_r2,nawrocki_pct,duda_2020,turnout_2020,turnout_delta,nawrocki_swing,trzaskowski_2020_r2,duda_2020_r2,turnout_2020_r2,trzaskowski_2025_r2,trzaskowski_shift,nawrocki_vs_duda,braun,holownia,biejat,zandberg,fragmentation,anti_estab,left_bloc,trzaskowski_r2,teryt_str,commune_type_code,commune_type,is_urban,right_bloc,bloc_diff,pkw_code_x,pop_density,pkw_code_y,urban_rate,pkw_code,unemployed,unemployed_rate
20101,m. Bolesławiec,dolnośląskie,64.13141152366917,13.066741762883694,24.36496761475641,27821.0,68.24913996016657,41.79455644083204,34.92,62.91,4.117728436497401,17.429588826075634,58.31,41.69,65.82,58.20544355916796,-0.1045564408320416,0.1045564408320416,5.232328921430583,4.562095184455083,3.4750774429738103,3.829907068431428,0.739475994521952,19.521261616446072,7.304984511405238,58.20544355916796,020101,1,Urban,1,18.299070684314277,10.99408617290904,,,,,,,
20102,gm. Bolesławiec,dolnośląskie,65.9749584099466,19.573048699132755,28.51234156104069,11421.0,68.91844283952791,52.51288659793815,41.71,62.18,2.943484429581318,24.000545036897456,49.48,50.52,64.85,47.48711340206185,-1.9928865979381456,1.9928865979381456,6.671114076050701,3.7891927951967976,3.5223482321547697,3.629086057371581,0.775305538359796,27.24482988659106,7.1514342895263505,47.48711340206185,020102,2,Urban-Rural,0,26.244162775183455,19.092728485657105,,,,,,,
20103,gm. Gromadka,dolnośląskie,56.412175648702586,18.69158878504673,37.605696484201154,4008.0,61.7550917777219,64.26229508196721,55.47,57.48,5.342916129019315,26.656598597766056,37.13,62.87,60.6,35.73770491803279,-1.3922950819672124,1.3922950819672124,7.74365821094793,3.0707610146862483,2.759234534935469,2.8927458834000888,0.7531022424400511,27.147307521139297,5.651980418335558,35.73770491803279,020103,3,Rural,0,26.43524699599466,20.783266577659102,,,,,,,
20104,gm. Nowogrodziec,dolnośląskie,57.78988743969984,20.10573783237444,35.11118022080547,11194.0,60.43521266073195,63.06792622582096,50.41,56.05,2.6453252210321097,27.95674600501548,39.09,60.91,57.96,36.93207377417904,-2.1579262258209653,2.1579262258209653,8.645622764733323,4.3694604260612655,2.6900948530555127,3.2654330586222984,0.7744434230856937,29.902037008241333,5.955527911677811,36.93207377417904,020104,4,Urban,1,28.751360597107762,22.79583268542995,,,,,,,
20105,gm. Osiecznica,dolnośląskie,57.45052386495926,18.098471986417657,26.112054329371816,5154.0,60.90415211486224,55.51257253384912,41.89,55.41,3.453628249902984,29.400518204477308,48.83,51.17,57.88,44.48742746615088,-4.342572533849115,4.342572533849115,10.050933786078096,4.074702886247878,3.972835314091681,5.025466893039049,0.7967162552857856,29.10016977928693,8.99830220713073,44.48742746615088,020105,5,Rural,0,28.149405772495754,19.151103565365027,,,,,,,
20106,gm. Warta Bolesławiecka,dolnośląskie,60.012594458438286,17.626849894291755,33.033826638477805,6352.0,63.84395813510943,58.38135805562516,49.46,56.53,3.8313636766711374,25.34753141714735,42.36,57.64,59.7,41.61864194437484,-0.741358055625156,0.741358055625156,8.853065539112052,3.382663847780127,3.646934460887949,3.858350951374207,0.7788779198271122,27.58985200845666,7.505285412262156,41.61864194437484,020106,6,,0,26.479915433403807,18.97463002114165,,,,,,,
20201,m. Bielawa,dolnośląskie,58.60041987403779,13.096096818145387,27.546685902059792,21435.0,63.4245283018868,46.74467446744674,41.27,57.05,4.824108427849005,19.19798856538695,52.84,47.16,60.83,53.25532553255326,0.4153255325532541,-0.4153255325532541,6.17937004087521,4.127594774384868,4.175683257193236,4.095535785845956,0.757695925349963,20.493708423499235,8.271219043039192,53.25532553255326,020201,1,Urban,1,19.275466859020597,11.004247815981405,,,,,,,
20202,m. Dzierżoniów,dolnośląskie,62.71420555099927,11.51372657492566,27.54996196666897,23167.0,67.22345469572404,43.75244554584583,39.4,62.06,4.509249144724777,16.202483579176857,54.7,45.3,65.54,56.24755445415417,1.5475544541541666,-1.5475544541541666,5.87096328054768,4.017702786805892,3.8448240094046056,3.2501210151441806,0.7378779435998057,18.51877463522578,7.094945024548786,56.24755445415417,020202,2,Urban-Rural,0,17.38468985547334,10.289744830924555,,,,,,,
20203,gm. Pieszyce,dolnośląskie,56.99648711943794,15.163297045101087,30.37843442198029,6832.0,61.75257731958763,52.71936185641769,47.48,54.82,4.756090200149686,22.3409274344374,46.2,53.8,58.22,47.28063814358231,1.0806381435823056,-1.0806381435823056,7.257646448937273,3.939865215137377,2.7216174183514776,3.8361845515811295,0.7655088320714553,23.48367029548989,6.557801969932607,47.28063814358231,020203,3,Rural,0,22.42094349403836,15.863141524105755,,,,,,,
20204,m. Piława Górna,dolnośląskie,55.597428508091326,16.599839615076185,31.35525260625501,4511.0,59.4582493843743,54.149298976885184,48.6,55.67,3.860820876282972,22.79404637063017,42.44,57.56,59.26,45.850701023114816,3.410701023114818,-3.410701023114818,7.497995188452286,4.410585404971933,3.809141940657578,3.5685645549318363,0.7776551454043031,25.06014434643144,7.377706495589415,45.850701023114816,020204,4,Urban,1,24.09783480352847,16.720128307939056,,,,,,,
